"source","EpiWeek","DateMin","DateMax","State","Lat","Lon","SuspCases","ProbCases","ConfCases","ConfDeaths","CFR","ConfCasesHCW"
"https://ncdc.gov.ng/data",1,2014-12-29,2015-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",2,2015-01-05,2015-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",3,2015-01-12,2015-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",4,2015-01-19,2015-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",5,2015-01-26,2015-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",6,2015-02-02,2015-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",7,2015-02-09,2015-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",8,2015-02-16,2015-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",9,2015-02-23,2015-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",10,2015-03-02,2015-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",11,2015-03-09,2015-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",12,2015-03-16,2015-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",13,2015-03-23,2015-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",14,2015-03-30,2015-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",15,2015-04-06,2015-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",16,2015-04-13,2015-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",17,2015-04-20,2015-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",18,2015-04-27,2015-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",19,2015-05-04,2015-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",20,2015-05-11,2015-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",21,2015-05-18,2015-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",22,2015-05-25,2015-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",23,2015-06-01,2015-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",24,2015-06-08,2015-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",25,2015-06-15,2015-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",26,2015-06-22,2015-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",27,2015-06-29,2015-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",28,2015-07-06,2015-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",29,2015-07-13,2015-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",30,2015-07-20,2015-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",31,2015-07-27,2015-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",32,2015-08-03,2015-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",33,2015-08-10,2015-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",34,2015-08-17,2015-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",35,2015-08-24,2015-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",36,2015-08-31,2015-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",37,2015-09-07,2015-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",38,2015-09-14,2015-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",39,2015-09-21,2015-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",40,2015-09-28,2015-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",41,2015-10-05,2015-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",42,2015-10-12,2015-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",43,2015-10-19,2015-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",44,2015-10-26,2015-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",45,2015-11-02,2015-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",46,2015-11-09,2015-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://ncdc.gov.ng/data",47,2015-11-16,2015-11-22,"Kano",11.9907744,8.4547185,0,0,2,0,0,0
"https://ncdc.gov.ng/data",48,2015-11-23,2015-11-29,"Bauchi",10.3129773,9.8015685,0,0,1,0,0,0
"https://ncdc.gov.ng/data",48,2015-11-23,2015-11-29,"Taraba",8.0555711,9.181155,0,0,1,0,0,0
"https://ncdc.gov.ng/data",49,2015-11-30,2015-12-06,"Bauchi",10.3129773,9.8015685,0,0,1,0,0,0
"https://ncdc.gov.ng/data",49,2015-11-30,2015-12-06,"Oyo",8.132077,2.3031879,0,0,1,0,0,0
"https://ncdc.gov.ng/data",50,2015-12-07,2015-12-13,"Bauchi",10.3129773,9.8015685,0,0,1,0,0,0
"https://ncdc.gov.ng/data",51,2015-12-14,2015-12-20,"Taraba",8.0555711,9.181155,0,0,1,0,0,0
"https://ncdc.gov.ng/data",51,2015-12-14,2015-12-20,"Plateau",9.3712374,8.2770731,0,0,2,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Rivers",5.0212501,6.3385668,0,0,2,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Edo",6.6671488,4.5445493,0,0,6,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Ondo",6.8172006,3.8703398,0,0,1,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"FCT",8.9134294,6.5925019,0,0,1,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Nasarawa",8.5454849,6.9563055,0,0,4,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Taraba",8.0555711,9.181155,0,0,3,0,0,0
"https://ncdc.gov.ng/data",52,2015-12-21,2015-12-27,"Plateau",9.3712374,8.2770731,0,0,1,0,0,0
"https://ncdc.gov.ng/data",53,2015-12-28,2016-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
