"source","EpiWeek","DateMin","DateMax","SuspCases","ProbCases","ConfCases","ConfDeaths","CFR"
NA,1,2017-01-02,2017-01-08,NA,NA,NA,NA,NA
NA,2,2017-01-09,2017-01-15,NA,NA,NA,NA,NA
NA,3,2017-01-16,2017-01-22,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_02.pdf",4,2017-01-23,2017-01-29,19,0,3,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_03.pdf",5,2017-01-30,2017-02-05,69,0,7,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_04.pdf",6,2017-02-06,2017-02-12,12,0,9,2,"22.2"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_05.pdf",7,2017-02-13,2017-02-19,15,0,10,6,"60.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_06.pdf",8,2017-02-20,2017-02-26,15,0,6,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_07.pdf",9,2017-02-27,2017-03-05,7,0,4,2,"50.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_08.pdf",10,2017-03-06,2017-03-12,7,0,18,0,"0.0"
NA,11,2017-03-13,2017-03-19,NA,NA,NA,NA,NA
NA,12,2017-03-20,2017-03-26,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_11.pdf",13,2017-03-27,2017-04-02,6,0,9,2,"22.2"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_11-2.pdf",14,2017-04-03,2017-04-09,9,0,1,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_13.pdf",15,2017-04-10,2017-04-16,3,0,9,0,"0.0"
NA,16,2017-04-17,2017-04-23,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_15.pdf",17,2017-04-24,2017-04-30,10,0,0,1,NA
NA,18,2017-05-01,2017-05-07,NA,NA,NA,NA,NA
NA,19,2017-05-08,2017-05-14,NA,NA,NA,NA,NA
NA,20,2017-05-15,2017-05-21,NA,NA,NA,NA,NA
NA,21,2017-05-22,2017-05-28,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_20.pdf",22,2017-05-29,2017-06-04,0,0,0,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_21.pdf",23,2017-06-05,2017-06-11,1,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_22.pdf",24,2017-06-12,2017-06-18,4,0,2,0,"0.0"
NA,25,2017-06-19,2017-06-25,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_24.pdf",26,2017-06-26,2017-07-02,4,0,3,1,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_25.pdf",27,2017-07-03,2017-07-09,13,0,5,2,"40.0"
NA,28,2017-07-10,2017-07-16,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_27.pdf",29,2017-07-17,2017-07-23,8,0,4,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_28.pdf",30,2017-07-24,2017-07-30,13,0,8,2,"25.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_29.pdf",31,2017-07-31,2017-08-06,3,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_30.pdf",32,2017-08-07,2017-08-13,11,0,10,1,"10.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_31.pdf",33,2017-08-14,2017-08-20,48,0,6,1,"16.7"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_32.pdf",34,2017-08-21,2017-08-27,10,0,14,2,"14.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_33.pdf",35,2017-08-28,2017-09-03,1,0,2,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_34.pdf",36,2017-09-04,2017-09-10,24,0,7,2,"28.6"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_35.pdf",37,2017-09-11,2017-09-17,0,0,2,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_36.pdf",38,2017-09-18,2017-09-24,8,0,3,1,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_37.pdf",39,2017-09-25,2017-10-01,2,0,3,0,"0.0"
NA,40,2017-10-02,2017-10-08,NA,NA,NA,NA,NA
NA,41,2017-10-09,2017-10-15,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_40.pdf",42,2017-10-16,2017-10-22,0,0,3,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_41.pdf",43,2017-10-23,2017-10-29,5,0,3,1,"33.3"
NA,44,2017-10-30,2017-11-05,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_43.pdf",45,2017-11-06,2017-11-12,0,0,2,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_44.pdf",46,2017-11-13,2017-11-19,32,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2017/Lassa_2017_45.pdf",47,2017-11-20,2017-11-26,23,0,2,2,"100.0"
