"source","EpiWeek","DateMin","DateMax","LGA","Lat","Lon","ConfCases"
"https://ncdc.gov.ng/data",1,2017-01-02,2017-01-08,"Lafia",8.5070178,8.4793035,1
"https://ncdc.gov.ng/data",1,2017-01-02,2017-01-08,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",2,2017-01-09,2017-01-15,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",2,2017-01-09,2017-01-15,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",2,2017-01-09,2017-01-15,"Lafia",8.5070178,8.4793035,1
"https://ncdc.gov.ng/data",3,2017-01-16,2017-01-22,"Lafia",8.5070178,8.4793035,2
"https://ncdc.gov.ng/data",3,2017-01-16,2017-01-22,"Nasarawa Egon",8.7442965,8.5326218,1
"https://ncdc.gov.ng/data",4,2017-01-23,2017-01-29,"Akoko South West",7.40155,5.5107262,1
"https://ncdc.gov.ng/data",4,2017-01-23,2017-01-29,"Keana",8.1410344,8.7792228,1
"https://ncdc.gov.ng/data",4,2017-01-23,2017-01-29,"Lafia",8.5070178,8.4793035,1
"https://ncdc.gov.ng/data",5,2017-01-30,2017-02-05,"Owo",7.2007797,5.532668,2
"https://ncdc.gov.ng/data",5,2017-01-30,2017-02-05,"Ose",7.0504103,5.4165517,2
"https://ncdc.gov.ng/data",5,2017-01-30,2017-02-05,"Lafia",8.5070178,8.4793035,1
"https://ncdc.gov.ng/data",5,2017-01-30,2017-02-05,"Jos North",9.9427289,8.8124815,1
"https://ncdc.gov.ng/data",6,2017-02-06,2017-02-12,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",6,2017-02-06,2017-02-12,"Ose",7.0504103,5.4165517,2
"https://ncdc.gov.ng/data",7,2017-02-13,2017-02-19,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",8,2017-02-20,2017-02-26,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",8,2017-02-20,2017-02-26,"Lafia",8.5070178,8.4793035,2
"https://ncdc.gov.ng/data",9,2017-02-27,2017-03-05,"Akure South",7.2240233,5.0584892,1
"https://ncdc.gov.ng/data",9,2017-02-27,2017-03-05,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",9,2017-02-27,2017-03-05,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",9,2017-02-27,2017-03-05,"Jos North",9.9427289,8.8124815,1
"https://ncdc.gov.ng/data",10,2017-03-06,2017-03-12,NA,NA,NA,NA
"https://ncdc.gov.ng/data",11,2017-03-13,2017-03-19,"Ile-Oluji-Okeigbo",7.2387274,4.6642387,1
"https://ncdc.gov.ng/data",11,2017-03-13,2017-03-19,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",11,2017-03-13,2017-03-19,"Tudun Wada",11.2477862,8.3829592,2
"https://ncdc.gov.ng/data",12,2017-03-20,2017-03-26,"Akwanga",8.9157569,8.3774768,1
"https://ncdc.gov.ng/data",13,2017-03-27,2017-04-02,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",14,2017-04-03,2017-04-09,"Owo",7.2007797,5.532668,1
