"url_bulletin","EpiWeek","DateMin","DateMax","SuspCases","ProbCases","ConfCases","ConfDeaths","CFR"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_02.pdf",1,2018-01-01,2018-01-07,32,0,5,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_03.pdf",2,2018-01-08,2018-01-14,24,1,17,3,"17.6"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_04.pdf",3,2018-01-15,2018-01-21,51,2,34,14,"41.2"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_05.pdf",4,2018-01-22,2018-01-28,190,0,15,2,"13.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_06.pdf",5,2018-01-29,2018-02-04,152,0,17,9,"52.9"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_07.pdf",6,2018-02-05,2018-02-11,166,1,19,6,"31.6"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_08.pdf",7,2018-02-12,2018-02-18,298,1,68,4,"5.9"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_09.pdf",8,2018-02-19,2018-02-25,168,3,54,10,"18.5"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_10.pdf",9,2018-02-26,2018-03-04,40,0,35,7,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_11.pdf",10,2018-03-05,2018-03-11,265,1,20,4,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_12.pdf",11,2018-03-12,2018-03-18,109,0,9,3,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_13.pdf",12,2018-03-19,2018-03-25,118,0,18,6,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_14.pdf",13,2018-03-26,2018-04-01,93,0,6,2,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_15.pdf",14,2018-04-02,2018-04-08,75,0,8,3,"37.5"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_16.pdf",15,2018-04-09,2018-04-15,68,0,5,3,"60.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_17.pdf",16,2018-04-16,2018-04-22,16,0,1,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_18.pdf",17,2018-04-23,2018-04-29,13,1,4,1,"25.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_19.pdf",18,2018-04-30,2018-05-06,16,0,3,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_20.pdf",19,2018-05-07,2018-05-13,20,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_21.pdf",20,2018-05-14,2018-05-20,26,0,3,1,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_22.pdf",21,2018-05-21,2018-05-27,28,0,0,0,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_23.pdf",22,2018-05-28,2018-06-03,14,0,1,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_24.pdf",23,2018-06-04,2018-06-10,17,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_25.pdf",24,2018-06-11,2018-06-17,23,0,1,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_26.pdf",25,2018-06-18,2018-06-24,20,0,6,2,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_27.pdf",26,2018-06-25,2018-07-01,45,0,2,0,"0.0"
