"source","EpiWeek","DateMin","DateMax","State","Lat","Lon","SuspCases","ProbCases","ConfCases","ConfDeaths","CFR","ConfCasesHCW"
"https://ncdc.gov.ng/data",1,2016-01-04,2016-04-10,"Rivers",5.0212501,6.3385668,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",1,2016-01-04,2016-04-10,"Edo",6.6671488,4.5445493,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",1,2016-01-04,2016-04-10,"Oyo",8.132077,2.3031879,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",1,2016-01-04,2016-04-10,"FCT",9,7,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",1,2016-01-04,2016-04-10,"Plateau",9.3712374,8.2770731,0,0,2,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Taraba",8.0555711,9.181155,0,0,5,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Akwa Ibom",4.9944773,7.2425604,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Delta",5.7561261,5.2135709,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Edo",6.6671488,4.5445493,0,0,2,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Ekiti",7.6970906,4.9980652,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Ondo",6.8172006,3.8703398,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Lagos",6.5480282,3.1191439,0,0,2,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Niger",17.5262812,2.7811467,0,0,1,0,"0.0",0
"https://ncdc.gov.ng/data",2,2016-01-11,2016-01-17,"Bauchi",10.3129773,9.8015685,0,0,2,0,"0.0",0
"https://ncdc.gov.ng/data",3,2016-01-18,2016-01-24,"Ebonyi",6.2420527,7.3206392,0,0,1,0,"0.0",0
