"source","EpiWeek","DateMin","DateMax","Sex","ConfCases"
"https://ncdc.gov.ng/data",1,2019-12-30,2020-01-05,"female",6
"https://ncdc.gov.ng/data",1,2019-12-30,2020-01-05,"male",8
"https://ncdc.gov.ng/data",2,2020-01-06,2020-01-12,"female",28
"https://ncdc.gov.ng/data",2,2020-01-06,2020-01-12,"male",40
"https://ncdc.gov.ng/data",3,2020-01-13,2020-01-19,"female",35
"https://ncdc.gov.ng/data",3,2020-01-13,2020-01-19,"male",45
"https://ncdc.gov.ng/data",4,2020-01-20,2020-01-26,"female",40
"https://ncdc.gov.ng/data",4,2020-01-20,2020-01-26,"male",53
"https://ncdc.gov.ng/data",5,2020-01-27,2020-02-02,"female",51
"https://ncdc.gov.ng/data",5,2020-01-27,2020-02-02,"male",51
"https://ncdc.gov.ng/data",6,2020-02-03,2020-02-09,"female",48
"https://ncdc.gov.ng/data",6,2020-02-03,2020-02-09,"male",61
"https://ncdc.gov.ng/data",7,2020-02-10,2020-02-16,"female",53
"https://ncdc.gov.ng/data",7,2020-02-10,2020-02-16,"male",61
"https://ncdc.gov.ng/data",8,2020-02-17,2020-02-23,"female",45
"https://ncdc.gov.ng/data",8,2020-02-17,2020-02-23,"male",55
"https://ncdc.gov.ng/data",9,2020-02-24,2020-03-01,"female",43
"https://ncdc.gov.ng/data",9,2020-02-24,2020-03-01,"male",42
"https://ncdc.gov.ng/data",10,2020-03-02,2020-03-08,"female",38
"https://ncdc.gov.ng/data",10,2020-03-02,2020-03-08,"male",43
"https://ncdc.gov.ng/data",11,2020-03-09,2020-03-15,"female",23
"https://ncdc.gov.ng/data",11,2020-03-09,2020-03-15,"male",28
"https://ncdc.gov.ng/data",12,2020-03-16,2020-03-22,"female",13
"https://ncdc.gov.ng/data",12,2020-03-16,2020-03-22,"male",15
"https://ncdc.gov.ng/data",13,2020-03-23,2020-03-29,"female",12
"https://ncdc.gov.ng/data",13,2020-03-23,2020-03-29,"male",7
"https://ncdc.gov.ng/data",14,2020-03-30,2020-04-05,"female",8
"https://ncdc.gov.ng/data",14,2020-03-30,2020-04-05,"male",4
"https://ncdc.gov.ng/data",15,2020-04-06,2020-04-12,"female",4
"https://ncdc.gov.ng/data",15,2020-04-06,2020-04-12,"male",6
"https://ncdc.gov.ng/data",16,2020-04-13,2020-04-19,"female",2
"https://ncdc.gov.ng/data",16,2020-04-13,2020-04-19,"male",3
"https://ncdc.gov.ng/data",17,2020-04-20,2020-04-26,"female",4
"https://ncdc.gov.ng/data",17,2020-04-20,2020-04-26,"male",4
"https://ncdc.gov.ng/data",18,2020-04-27,2020-05-03,"female",0
"https://ncdc.gov.ng/data",18,2020-04-27,2020-05-03,"male",5
"https://ncdc.gov.ng/data",19,2020-05-04,2020-05-10,"female",3
"https://ncdc.gov.ng/data",19,2020-05-04,2020-05-10,"male",6
"https://ncdc.gov.ng/data",20,2020-05-11,2020-05-17,"female",3
"https://ncdc.gov.ng/data",20,2020-05-11,2020-05-17,"male",3
"https://ncdc.gov.ng/data",21,2020-05-18,2020-05-24,"female",3
"https://ncdc.gov.ng/data",21,2020-05-18,2020-05-24,"male",6
"https://ncdc.gov.ng/data",22,2020-05-25,2020-05-31,"female",3
"https://ncdc.gov.ng/data",22,2020-05-25,2020-05-31,"male",3
"https://ncdc.gov.ng/data",23,2020-06-01,2020-06-07,"female",4
"https://ncdc.gov.ng/data",23,2020-06-01,2020-06-07,"male",1
"https://ncdc.gov.ng/data",24,2020-06-08,2020-06-14,"female",1
"https://ncdc.gov.ng/data",24,2020-06-08,2020-06-14,"male",4
"https://ncdc.gov.ng/data",25,2020-06-15,2020-06-21,"female",3
"https://ncdc.gov.ng/data",25,2020-06-15,2020-06-21,"male",2
"https://ncdc.gov.ng/data",26,2020-06-22,2020-06-28,"female",2
"https://ncdc.gov.ng/data",26,2020-06-22,2020-06-28,"male",2
"https://ncdc.gov.ng/data",27,2020-06-29,2020-07-05,"female",0
"https://ncdc.gov.ng/data",27,2020-06-29,2020-07-05,"male",3
"https://ncdc.gov.ng/data",28,2020-07-06,2020-07-12,"female",0
"https://ncdc.gov.ng/data",28,2020-07-06,2020-07-12,"male",3
"https://ncdc.gov.ng/data",29,2020-07-13,2020-07-19,"female",3
"https://ncdc.gov.ng/data",29,2020-07-13,2020-07-19,"male",2
"https://ncdc.gov.ng/data",30,2020-07-20,2020-07-26,"female",0
"https://ncdc.gov.ng/data",30,2020-07-20,2020-07-26,"male",0
"https://ncdc.gov.ng/data",31,2020-07-27,2020-08-02,"female",1
"https://ncdc.gov.ng/data",31,2020-07-27,2020-08-02,"male",2
"https://ncdc.gov.ng/data",32,2020-08-03,2020-08-09,"female",3
"https://ncdc.gov.ng/data",32,2020-08-03,2020-08-09,"male",3
"https://ncdc.gov.ng/data",33,2020-08-10,2020-08-16,"female",1
"https://ncdc.gov.ng/data",33,2020-08-10,2020-08-16,"male",0
"https://ncdc.gov.ng/data",34,2020-08-17,2020-08-23,"female",7
"https://ncdc.gov.ng/data",34,2020-08-17,2020-08-23,"male",4
"https://ncdc.gov.ng/data",35,2020-08-24,2020-08-30,"female",2
"https://ncdc.gov.ng/data",35,2020-08-24,2020-08-30,"male",0
"https://ncdc.gov.ng/data",36,2020-08-31,2020-09-06,"female",2
"https://ncdc.gov.ng/data",36,2020-08-31,2020-09-06,"male",2
"https://ncdc.gov.ng/data",37,2020-09-07,2020-09-13,"female",2
"https://ncdc.gov.ng/data",37,2020-09-07,2020-09-13,"male",4
"https://ncdc.gov.ng/data",38,2020-09-14,2020-09-20,"female",2
"https://ncdc.gov.ng/data",38,2020-09-14,2020-09-20,"male",2
"https://ncdc.gov.ng/data",39,2020-09-21,2020-09-27,"female",4
"https://ncdc.gov.ng/data",39,2020-09-21,2020-09-27,"male",3
"https://ncdc.gov.ng/data",40,2020-09-28,2020-10-04,"female",1
"https://ncdc.gov.ng/data",40,2020-09-28,2020-10-04,"male",2
"https://ncdc.gov.ng/data",41,2020-10-05,2020-10-11,"female",3
"https://ncdc.gov.ng/data",41,2020-10-05,2020-10-11,"male",2
"https://ncdc.gov.ng/data",42,2020-10-12,2020-10-18,"female",4
"https://ncdc.gov.ng/data",42,2020-10-12,2020-10-18,"male",9
"https://ncdc.gov.ng/data",43,2020-10-19,2020-10-25,"female",1
"https://ncdc.gov.ng/data",43,2020-10-19,2020-10-25,"male",1
"https://ncdc.gov.ng/data",44,2020-10-26,2020-11-01,"female",5
"https://ncdc.gov.ng/data",44,2020-10-26,2020-11-01,"male",6
"https://ncdc.gov.ng/data",45,2020-11-02,2020-11-08,"female",1
"https://ncdc.gov.ng/data",45,2020-11-02,2020-11-08,"male",4
"https://ncdc.gov.ng/data",46,2020-11-09,2020-11-15,"female",2
"https://ncdc.gov.ng/data",46,2020-11-09,2020-11-15,"male",0
"https://ncdc.gov.ng/data",47,2020-11-16,2020-11-22,"female",3
"https://ncdc.gov.ng/data",47,2020-11-16,2020-11-22,"male",6
"https://ncdc.gov.ng/data",48,2020-11-23,2020-11-29,"female",1
"https://ncdc.gov.ng/data",48,2020-11-23,2020-11-29,"male",4
"https://ncdc.gov.ng/data",49,2020-11-30,2020-12-06,"female",0
"https://ncdc.gov.ng/data",49,2020-11-30,2020-12-06,"male",4
"https://ncdc.gov.ng/data",50,2020-12-07,2020-12-13,"female",3
"https://ncdc.gov.ng/data",50,2020-12-07,2020-12-13,"male",2
"https://ncdc.gov.ng/data",51,2020-12-14,2020-12-20,"female",5
"https://ncdc.gov.ng/data",51,2020-12-14,2020-12-20,"male",7
